taxid	kingdom	phylum	class	order	family	genus	species	species_epithet	species_short	scientificName	currentName	identifiedBy	recordedBy	recordNumber	year	country	department	locality details	source	notes
139379	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	Hymenochaete luteobadia	luteobadia	H. luteobadia	Hymenochaete luteobadia	Hymenochaete luteobadia		"Peck, M. E."		1907	Honduras			Mycoportal	
5644	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum ostrea	ostrea	S. ostrea	Stereum ostrea	Stereum ostrea		"Peck, M. E."		1907	Honduras			Mycoportal	
40473	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phylloporia	Phylloporia pectinata	pectinata	P. pectinata	Phylloporia pectinata	Phylloporia pectinata		"Peck, M. E."		1907	Honduras			Mycoportal	
1	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Cristelloporia	Cristelloporia rutilantiformis	rutilantiformis	C. rutilantiformis	Murrilloporus rutilantiformis	Cristelloporia rutilantiformis		"Peck, M. E."		1907	Honduras			Mycoportal	
40436	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Daedalea	Daedalea dochmia	dochmia	D. dochmia	Fomitopsis dochmia	Daedalea dochmia		"Peck, M. E."		1907	Honduras			Mycoportal	
40451	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales family incertae sedis 	Trichaptum	Trichaptum versatile	versatile	T. versatile	Trichaptum versatile	Trichaptum versatile	"Murrill, W. A."	"Peck, M. E."	USDA1442	1907	Honduras			Mycoportal	
83251	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Incrustoporiaceae	Skeletocutis	Skeletocutis albomarginata	albomarginata	S. albomarginata	Pyrofomes albomarginatus	Skeletocutis albomarginata	"Murrill, W. A."	"Peck, M. E."		1907	Honduras			Mycoportal	
196301	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Pseudofavolus	Pseudofavolus tenuis	tenuis	P. tenuis	Hexagonia tenuis	Pseudofavolus tenuis		"Peck, M. E."		1907	Honduras			Mycoportal	
417231	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Osmoporus	Osmoporus mexicanus	mexicanus	O. mexicanus	Gloeophyllum mexicanum	Osmoporus mexicanus		"Peck, M. E."		1907	Honduras			Mycoportal	
1755788	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Nigrofomitaceae	Nigrofomes	Nigrofomes melanoporus	melanoporus	N. melanoporus	Nigrofomes melanoporus	Nigrofomes melanoporus		"Peck, M. E."		1907	Honduras			Mycoportal	
